AssetID,Asset Name,AssetSerial,Color,StandardCost,ListPrice,Size,ModifiedDate
1,Asset 1,AR-5381,Silver,$179.00 ,$144.00 ,General,08-02-2014
2,Asset 2,BA-8327,Black,$493.00 ,$115.00 ,General,08-02-2014
3,Asset 3,BE-2349,Red,$558.00 ,$280.00 ,General,08-02-2014
4,Asset 4,BE-2908,Red,$149.00 ,$494.00 ,General,08-02-2014
316,Asset 5,BL-2036,Black,$798.00 ,$416.00 ,General,08-02-2014
330,Asset 19,EC-T209,Black,$773.00 ,$310.00 ,General,08-02-2014
331,Asset 20,FE-3760,Black,$752.00 ,$269.00 ,General,08-02-2014
332,Asset 21,FH-2981,Black,$637.00 ,$448.00 ,General,08-02-2014
341,Asset 22,FW-1000,Red,$355.00 ,$159.00 ,General,08-02-2014
342,Asset 23,FW-1200,Red,$193.00 ,$346.00 ,General,08-02-2014
343,Asset 24,FW-1400,Red,$492.00 ,$134.00 ,General,08-02-2014
344,Asset 25,FW-3400,Red,$915.00 ,$120.00 ,General,08-02-2014
345,Asset 26,FW-3800,Red,$344.00 ,$421.00 ,General,08-02-2014
346,Asset 27,FW-5160,Red,$32.00 ,$313.00 ,General,08-02-2014
347,Asset 28,FW-5800,Red,$300.00 ,$322.00 ,General,08-02-2014
348,Asset 29,FW-7160,Red,$812.00 ,$87.00 ,General,08-02-2014
349,Asset 30,FW-9160,Red,$67.00 ,$442.00 ,General,08-02-2014
350,Asset 31,FC-3654,Red,$391.00 ,$93.00 ,General,08-02-2014
351,Asset 32,FC-3982,Red,$671.00 ,$80.00 ,General,08-02-2014
352,Asset 33,FL-2301,Black,$918.00 ,$222.00 ,General,08-02-2014
355,Asset 34,GP-0982,Black,$391.00 ,$158.00 ,General,08-02-2014
356,Asset 35,GT-0820,Black,$537.00 ,$272.00 ,General,08-02-2014
357,Asset 36,GT-1209,Silver,$575.00 ,$466.00 ,General,08-02-2014
358,Asset 37,GT-2908,Silver,$764.00 ,$275.00 ,General,08-02-2014
359,Asset 38,HJ-1213,Silver,$764.00 ,$86.00 ,General,08-02-2014
360,Asset 39,HJ-1220,Silver,$189.00 ,$180.00 ,General,08-02-2014
361,Asset 40,HJ-1420,Black,$697.00 ,$121.00 ,General,08-02-2014
362,Asset 41,HJ-1428,Black,$804.00 ,$171.00 ,General,08-02-2014
363,Asset 42,HJ-3410,Black,$201.00 ,$164.00 ,General,08-02-2014
364,Asset 43,HJ-3416,Black,$980.00 ,$155.00 ,General,08-02-2014
365,Asset 44,HJ-3816,Black,$753.00 ,$155.00 ,General,08-02-2014
366,Asset 45,HJ-3824,Silver,$158.00 ,$97.00 ,General,08-02-2014
367,Asset 46,HJ-5161,Red,$358.00 ,$306.00 ,General,08-02-2014
368,Asset 47,HJ-5162,Red,$844.00 ,$218.00 ,General,08-02-2014
369,Asset 48,HJ-5811,Red,$724.00 ,$398.00 ,General,08-02-2014
370,Asset 49,HJ-5818,Red,$141.00 ,$410.00 ,General,08-02-2014
371,Asset 50,HJ-7161,Red,$360.00 ,$200.00 ,General,08-02-2014
372,Asset 51,HJ-7162,Red,$530.00 ,$203.00 ,General,08-02-2014
373,Asset 52,HJ-9080,Red,$813.00 ,$207.00 ,General,08-02-2014
374,Asset 53,HJ-9161,Red,$873.00 ,$341.00 ,General,08-02-2014
375,Asset 54,HN-1024,Red,$400.00 ,$350.00 ,General,08-02-2014
376,Asset 55,HN-1032,Red,$484.00 ,$183.00 ,General,08-02-2014
377,Asset 56,HN-1213,Red,$597.00 ,$51.00 ,General,08-02-2014
378,Asset 57,HN-1220,Red,$473.00 ,$116.00 ,General,08-02-2014
379,Asset 58,HN-1224,Red,$728.00 ,$446.00 ,General,08-02-2014
380,Asset 59,HN-1420,Red,$717.00 ,$262.00 ,General,08-02-2014
381,Asset 60,HN-1428,Red,$99.00 ,$497.00 ,General,08-02-2014
382,Asset 61,HN-3410,Red,$605.00 ,$457.00 ,General,08-02-2014
383,Asset 62,HN-3416,Black,$623.00 ,$300.00 ,General,08-02-2014
384,Asset 63,HN-3816,Black,$173.00 ,$414.00 ,General,08-02-2014
385,Asset 64,HN-3824,Black,$184.00 ,$279.00 ,General,08-02-2014
386,Asset 65,HN-4402,Black,$400.00 ,$219.00 ,General,08-02-2014
387,Asset 66,HN-5161,Black,$414.00 ,$472.00 ,General,08-02-2014
388,Asset 67,HN-5162,Black,$353.00 ,$389.00 ,General,08-02-2014
389,Asset 68,HN-5400,Silver,$348.00 ,$332.00 ,General,08-02-2014
390,Asset 69,HN-5811,Silver,$466.00 ,$126.00 ,General,08-02-2014
391,Asset 70,HN-5818,Silver,$358.00 ,$472.00 ,General,08-02-2014
392,Asset 71,HN-6320,Silver,$374.00 ,$107.00 ,General,08-02-2014
393,Asset 72,HN-7161,Black,$449.00 ,$159.00 ,General,08-02-2014
394,Asset 73,HN-7162,Black,$473.00 ,$55.00 ,General,08-02-2014
395,Asset 74,HN-8320,Black,$706.00 ,$351.00 ,General,08-02-2014
396,Asset 75,HN-9161,Black,$951.00 ,$59.00 ,General,08-02-2014
397,Asset 76,HN-9168,Silver,$217.00 ,$440.00 ,General,08-02-2014
398,Asset 77,HT-2981,Silver,$530.00 ,$323.00 ,General,08-02-2014
399,Asset 78,HT-8019,Silver,$261.00 ,$331.00 ,General,08-02-2014
400,Asset 79,HU-6280,Black,$233.00 ,$354.00 ,General,08-02-2014
401,Asset 80,HU-8998,Black,$464.00 ,$485.00 ,General,08-02-2014
402,Asset 81,KW-4091,Black,$928.00 ,$390.00 ,General,08-02-2014
403,Asset 82,LE-1000,Black,$324.00 ,$483.00 ,General,08-02-2014
404,Asset 83,LE-1200,Black,$820.00 ,$461.00 ,General,08-02-2014
