StockID,ProductID,EmployeeID,OrderQty,StockedQty,ScrappedQty,ScrapReasonID,ModifiedDate
1,568,258,8,8,0,1,13-06-2011 00:00
2,659,254,15,15,0,2,13-06-2011 00:00
3,960,257,9,9,0,3,13-06-2011 00:00
4,795,261,16,16,0,4,13-06-2011 00:00
5,89,251,14,14,0,5,13-06-2011 00:00
6,446,253,16,16,0,6,13-06-2011 00:00
7,720,255,4,4,0,7,13-06-2011 00:00
8,836,256,19,19,0,8,13-06-2011 00:00
9,525,259,2,2,0,9,13-06-2011 00:00
10,279,250,3,3,0,10,13-06-2011 00:00
11,844,258,1,1,0,11,13-06-2011 00:00
12,836,254,1,1,0,12,13-06-2011 00:00
13,688,257,4,4,0,13,19-06-2011 00:00
14,476,261,2,2,0,14,19-06-2011 00:00
15,872,251,4,4,0,15,19-06-2011 00:00
16,16,253,14,14,0,16,19-06-2011 00:00
17,945,255,27,27,0,1,19-06-2011 00:00
18,1000,256,11,11,0,2,19-06-2011 00:00
19,952,259,14,14,0,3,19-06-2011 00:00
20,271,260,46,46,0,4,19-06-2011 00:00
21,382,250,43,43,0,5,19-06-2011 00:00
22,644,254,19,19,0,6,19-06-2011 00:00
23,137,257,44,44,0,7,19-06-2011 00:00
24,814,261,20,20,0,8,19-06-2011 00:00
25,201,251,14,14,0,9,19-06-2011 00:00
26,369,253,30,30,0,10,19-06-2011 00:00
27,558,255,11,11,0,11,19-06-2011 00:00
28,909,256,1,1,0,12,19-06-2011 00:00
29,592,259,13,13,0,13,19-06-2011 00:00
30,379,260,29,29,0,14,19-06-2011 00:00
31,790,258,10,10,0,15,19-06-2011 00:00
32,145,254,5,5,0,16,19-06-2011 00:00
33,707,257,17,17,0,1,19-06-2011 00:00
34,249,261,7,7,0,2,19-06-2011 00:00
35,853,251,22,22,0,3,19-06-2011 00:00
36,255,253,16,16,0,4,19-06-2011 00:00
37,120,255,23,23,0,5,19-06-2011 00:00
38,13,256,20,20,0,6,19-06-2011 00:00
39,142,252,120,120,0,7,19-06-2011 00:00
40,350,260,224,224,0,8,19-06-2011 00:00
41,720,258,98,97,1,9,19-06-2011 00:00
42,314,254,18,18,0,10,19-06-2011 00:00
43,428,257,4,4,0,11,13-06-2011 00:00
44,91,261,14,14,0,12,13-06-2011 00:00
45,100,250,30,30,0,13,13-06-2011 00:00
46,905,253,11,11,0,14,13-06-2011 00:00
47,87,255,1,1,0,15,13-06-2011 00:00
48,180,256,44,44,0,16,13-06-2011 00:00
49,634,259,20,20,0,1,13-06-2011 00:00
50,254,260,14,14,0,2,13-06-2011 00:00
51,469,258,43,43,0,3,13-06-2011 00:00
52,641,254,19,19,0,4,13-06-2011 00:00
53,225,252,14,14,0,5,13-06-2011 00:00
54,341,261,46,46,0,6,13-06-2011 00:00
55,168,251,27,27,0,7,13-06-2011 00:00
56,531,253,11,11,0,8,13-06-2011 00:00
57,487,255,13,13,0,9,13-06-2011 00:00
58,42,256,29,29,0,10,13-06-2011 00:00
59,321,259,5,5,0,11,13-06-2011 00:00
60,50,260,17,17,0,12,13-06-2011 00:00
61,981,258,7,7,0,13,13-06-2011 00:00
62,292,254,16,16,0,14,13-06-2011 00:00
63,465,257,23,23,0,15,13-06-2011 00:00
64,624,261,20,20,0,16,13-06-2011 00:00
65,317,251,22,22,0,1,19-06-2011 00:00
66,4,253,10,10,0,2,19-06-2011 00:00
67,442,255,322,322,0,3,19-06-2011 00:00
68,171,256,138,138,0,4,19-06-2011 00:00
69,750,259,120,117,3,5,19-06-2011 00:00
70,682,260,224,224,0,6,19-06-2011 00:00
71,28,258,98,98,0,7,19-06-2011 00:00
72,607,254,18,18,0,8,19-06-2011 00:00
73,90,257,120,120,0,9,19-06-2011 00:00
74,767,261,224,224,0,10,19-06-2011 00:00
75,939,251,98,98,0,11,19-06-2011 00:00
76,921,253,18,18,0,12,19-06-2011 00:00
77,128,252,120,120,0,13,19-06-2011 00:00
78,136,256,224,224,0,14,19-06-2011 00:00
79,590,259,98,98,0,15,19-06-2011 00:00
80,534,260,18,18,0,16,19-06-2011 00:00
81,478,258,460,460,0,1,19-06-2011 00:00
82,266,254,460,460,0,2,19-06-2011 00:00
83,726,257,322,322,0,3,19-06-2011 00:00
84,857,261,138,138,0,4,19-06-2011 00:00
85,119,251,224,220,4,5,19-06-2011 00:00
86,710,253,98,98,0,6,19-06-2011 00:00
87,144,255,138,138,0,7,19-06-2011 00:00
88,974,252,4600,4600,0,8,13-06-2011 00:00
89,527,259,1148,1148,0,9,13-06-2011 00:00
90,116,260,574,574,0,10,13-06-2011 00:00
91,866,258,240,236,4,11,13-06-2011 00:00
92,195,250,680,680,0,12,13-06-2011 00:00
93,232,257,460,460,0,13,13-06-2011 00:00
94,936,261,574,574,0,14,13-06-2011 00:00
95,949,251,448,448,0,15,13-06-2011 00:00
96,592,253,472,472,0,16,13-06-2011 00:00
97,300,255,460,460,0,1,13-06-2011 00:00
