StockID,ProductID,EmployeeID,OrderQty,StockedQty,ScrappedQty,ScrapReasonID,ModifiedDate
1,155,333,8,8,0,1,13-06-2011 00:00
2,467,254,15,15,0,2,13-06-2011 00:00
3,929,257,9,9,0,3,13-06-2011 00:00
4,196,261,16,16,0,4,13-06-2011 00:00
5,133,251,14,14,0,5,13-06-2011 00:00
6,273,253,16,16,0,6,13-06-2011 00:00
7,359,255,4,4,0,7,13-06-2011 00:00
8,492,256,19,19,0,8,13-06-2011 00:00
9,323,259,2,2,0,9,13-06-2011 00:00
10,815,250,3,3,0,10,13-06-2011 00:00
11,421,258,1,1,0,11,13-06-2011 00:00
12,570,254,1,1,0,12,13-06-2011 00:00
13,756,257,4,4,0,13,19-06-2011 00:00
14,190,261,2,2,0,14,19-06-2011 00:00
15,215,251,4,4,0,15,19-06-2011 00:00
16,802,253,14,14,0,16,19-06-2011 00:00
17,954,255,27,27,0,1,19-06-2011 00:00
18,368,256,11,11,0,2,19-06-2011 00:00
19,721,259,14,14,0,3,19-06-2011 00:00
20,464,260,46,46,0,4,19-06-2011 00:00
21,203,250,43,43,0,5,19-06-2011 00:00
22,977,254,19,19,0,6,19-06-2011 00:00
23,156,257,44,44,0,7,19-06-2011 00:00
24,454,261,20,20,0,8,19-06-2011 00:00
25,538,251,14,14,0,9,19-06-2011 00:00
26,285,253,30,30,0,10,19-06-2011 00:00
27,634,255,11,11,0,11,19-06-2011 00:00
28,916,256,1,1,0,12,19-06-2011 00:00
29,165,259,13,13,0,13,19-06-2011 00:00
30,659,260,29,29,0,14,19-06-2011 00:00
31,351,258,10,10,0,15,19-06-2011 00:00
32,298,254,5,5,0,16,19-06-2011 00:00
33,131,257,17,17,0,1,19-06-2011 00:00
34,540,261,7,7,0,2,19-06-2011 00:00
35,466,251,22,22,0,3,19-06-2011 00:00
36,527,253,16,16,0,4,19-06-2011 00:00
37,883,255,23,23,0,5,19-06-2011 00:00
38,1,256,20,20,0,6,19-06-2011 00:00
39,221,252,120,120,0,7,19-06-2011 00:00
40,549,260,224,224,0,8,19-06-2011 00:00
41,455,258,98,97,1,9,19-06-2011 00:00
42,736,254,18,18,0,10,19-06-2011 00:00
43,697,257,4,4,0,11,13-06-2011 00:00
44,66,261,14,14,0,12,13-06-2011 00:00
45,319,250,30,30,0,13,13-06-2011 00:00
46,355,253,11,11,0,14,13-06-2011 00:00
47,752,255,1,1,0,15,13-06-2011 00:00
48,160,256,44,44,0,16,13-06-2011 00:00
49,657,259,20,20,0,1,13-06-2011 00:00
50,340,260,14,14,0,2,13-06-2011 00:00
51,789,258,43,43,0,3,13-06-2011 00:00
52,811,254,19,19,0,4,13-06-2011 00:00
53,988,252,14,14,0,5,13-06-2011 00:00
54,172,261,46,46,0,6,13-06-2011 00:00
55,943,251,27,27,0,7,13-06-2011 00:00
56,359,253,11,11,0,8,13-06-2011 00:00
57,963,255,13,13,0,9,13-06-2011 00:00
58,185,256,29,29,0,10,13-06-2011 00:00
59,500,259,5,5,0,11,13-06-2011 00:00
60,952,260,17,17,0,12,13-06-2011 00:00
61,740,258,7,7,0,13,13-06-2011 00:00
62,702,254,16,16,0,14,13-06-2011 00:00
63,44,257,23,23,0,15,13-06-2011 00:00
64,272,261,20,20,0,16,13-06-2011 00:00
65,629,251,22,22,0,1,19-06-2011 00:00
66,202,253,10,10,0,2,19-06-2011 00:00
67,292,255,322,322,0,3,19-06-2011 00:00
68,242,256,138,138,0,4,19-06-2011 00:00
69,576,259,120,117,3,5,19-06-2011 00:00
70,646,260,224,224,0,6,19-06-2011 00:00
71,886,258,98,98,0,7,19-06-2011 00:00
72,172,254,18,18,0,8,19-06-2011 00:00
73,952,257,120,120,0,9,19-06-2011 00:00
74,482,261,224,224,0,10,19-06-2011 00:00
75,380,251,98,98,0,11,19-06-2011 00:00
76,257,253,18,18,0,12,19-06-2011 00:00
77,32,252,120,120,0,13,19-06-2011 00:00
78,603,256,224,224,0,14,19-06-2011 00:00
79,846,259,98,98,0,15,19-06-2011 00:00
80,230,260,18,18,0,16,19-06-2011 00:00
81,761,258,460,460,0,1,19-06-2011 00:00
82,764,254,460,460,0,2,19-06-2011 00:00
83,110,257,322,322,0,3,19-06-2011 00:00
84,717,261,138,138,0,4,19-06-2011 00:00
85,508,251,224,220,4,5,19-06-2011 00:00
86,750,253,98,98,0,6,19-06-2011 00:00
87,35,255,138,138,0,7,19-06-2011 00:00
88,876,252,4600,4600,0,8,13-06-2011 00:00
89,312,259,1148,1148,0,9,13-06-2011 00:00
90,310,260,574,574,0,10,13-06-2011 00:00
91,580,258,240,236,4,11,13-06-2011 00:00
92,14,250,680,680,0,12,13-06-2011 00:00
93,931,257,460,460,0,13,13-06-2011 00:00
94,609,261,574,574,0,14,13-06-2011 00:00
95,565,251,448,448,0,15,13-06-2011 00:00
96,224,253,472,472,0,16,13-06-2011 00:00
97,884,255,460,460,0,1,13-06-2011 00:00
98,226,256,2296,2296,0,2,13-06-2011 00:00
99,376,259,574,574,0,3,13-06-2011 00:00
100,512,260,574,574,0,4,13-06-2011 00:00
101,270,258,305,305,0,5,19-06-2011 00:00
102,333,254,118,118,0,6,19-06-2011 00:00
103,987,257,151,151,0,7,19-06-2011 00:00
104,25,261,1148,1148,0,8,13-06-2011 00:00
105,926,251,1148,1148,0,9,13-06-2011 00:00
106,845,253,574,574,0,10,13-06-2011 00:00
107,306,255,574,574,0,11,13-06-2011 00:00
108,370,256,1,1,0,12,15-06-2011 00:00
109,469,259,1,1,0,13,15-06-2011 00:00
110,600,250,1,1,0,14,15-06-2011 00:00
111,374,258,1,1,0,15,15-06-2011 00:00
112,133,254,2,2,0,16,15-06-2011 00:00
113,406,257,2,2,0,1,15-06-2011 00:00
114,254,261,1,1,0,2,14-06-2011 00:00
115,400,251,1,1,0,3,14-06-2011 00:00
116,934,253,1,1,0,4,14-06-2011 00:00
117,90,255,1,1,0,5,15-06-2011 00:00
118,71,256,4,4,0,6,15-06-2011 00:00
119,983,259,2,2,0,7,15-06-2011 00:00
120,22,260,2,2,0,8,15-06-2011 00:00
121,380,250,2,2,0,9,15-06-2011 00:00
122,535,254,2,2,0,10,15-06-2011 00:00
123,159,257,2,2,0,11,15-06-2011 00:00
124,433,261,2,2,0,12,15-06-2011 00:00
125,790,251,4,4,0,13,15-06-2011 00:00
126,532,253,4,4,0,14,15-06-2011 00:00
127,389,255,4,4,0,15,15-06-2011 00:00
128,61,256,4,4,0,16,15-06-2011 00:00
129,500,259,40,40,0,1,14-06-2011 00:00
130,347,260,8,8,0,2,14-06-2011 00:00
131,733,258,4,4,0,3,14-06-2011 00:00
132,520,254,4,4,0,4,14-06-2011 00:00
133,14,257,4,4,0,5,14-06-2011 00:00
134,564,261,4,4,0,6,14-06-2011 00:00
135,103,251,4,4,0,7,14-06-2011 00:00
136,480,253,8,8,0,8,14-06-2011 00:00
137,728,255,4,4,0,9,14-06-2011 00:00
138,227,256,16,16,0,10,14-06-2011 00:00
139,270,252,4,4,0,11,14-06-2011 00:00
140,854,260,4,4,0,12,14-06-2011 00:00
141,125,258,4,4,0,13,15-06-2011 00:00
142,214,254,8,8,0,14,14-06-2011 00:00
143,21,257,8,8,0,15,14-06-2011 00:00
144,795,261,4,4,0,16,14-06-2011 00:00
145,568,250,4,4,0,1,14-06-2011 00:00
146,489,253,2,2,0,2,23-06-2011 00:00
147,508,255,1,1,0,3,23-06-2011 00:00
148,710,256,1,1,0,4,23-06-2011 00:00
149,833,259,1,1,0,5,23-06-2011 00:00
150,640,260,1,1,0,6,23-06-2011 00:00
151,857,258,4,4,0,7,23-06-2011 00:00
152,985,254,2,2,0,8,15-06-2011 00:00
153,362,252,1,1,0,9,15-06-2011 00:00
154,301,261,1,1,0,10,15-06-2011 00:00
155,740,251,1,1,0,11,15-06-2011 00:00
156,206,253,1,1,0,12,23-06-2011 00:00
157,86,255,4,4,0,13,23-06-2011 00:00
158,136,256,1,1,0,14,23-06-2011 00:00
159,993,259,4,4,0,15,23-06-2011 00:00
